GEO_REGION,geo_region
CA,very_high_volume
TX,very_high_volume
FL,very_high_volume
GA,high_volume
NY,high_volume
TN,high_volume
ON,high_volume
PA,high_volume
OH,high_volume
NC,high_volume
IL,high_volume
QC,high_volume
CO,high_volume
VA,high_volume
MI,high_volume
NJ,high_volume
KS,high_volume
MD,high_volume
WA,high_volume
MA,high_volume
MO,high_volume
IN,high_volume
WI,medium_volume
SC,medium_volume
CT,medium_volume
7,medium_volume
MN,medium_volume
AZ,medium_volume
2,medium_volume
AL,medium_volume
LA,medium_volume
OR,medium_volume
IA,medium_volume
KY,medium_volume
16,medium_volume
OK,medium_volume
4,medium_volume
5,medium_volume
ME,medium_volume
AR,medium_volume
BC,medium_volume
NV,medium_volume
19,medium_volume
NE,medium_volume
UT,medium_volume
AB,medium_volume
TG,medium_volume
MS,medium_volume
NH,medium_volume
WV,medium_volume
NM,medium_volume
MT,medium_volume
HI,medium_volume
ID,medium_volume
G5,medium_volume
DC,medium_volume
DE,medium_volume
A7,medium_volume
N7,medium_volume
F2,medium_volume
1,medium_volume
E4,medium_volume
RI,medium_volume
F8,medium_volume
8,medium_volume
ND,medium_volume
H2,medium_volume
I9,medium_volume
D4,medium_volume
P6,medium_volume
SD,medium_volume
VT,medium_volume
MB,medium_volume
28,medium_volume
H9,medium_volume
U8,medium_volume
V2,medium_volume
I2,medium_volume
C3,medium_volume
6,medium_volume
N5,medium_volume
M9,medium_volume
NS,medium_volume
H3,medium_volume
K2,medium_volume
0,medium_volume
C6,medium_volume
H8,medium_volume
WY,medium_volume
J9,medium_volume
NB,medium_volume
D3,medium_volume
J1,medium_volume
10,medium_volume
E6,low_volume
P3,low_volume
SK,low_volume
H7,low_volume
V1,low_volume
J7,low_volume
A2,low_volume
M3,low_volume
B9,low_volume
P8,low_volume
D8,low_volume
H5,low_volume
A8,low_volume
E7,low_volume
B7,low_volume
C9,low_volume
AK,low_volume
E2,low_volume
D9,low_volume
D6,low_volume
Q1,low_volume
M8,low_volume
P7,low_volume
Q4,low_volume
E1,low_volume
L9,low_volume
P5,low_volume
T5,low_volume
V8,low_volume
B8,low_volume
C4,low_volume
N6,low_volume
B4,low_volume
C7,low_volume
V3,low_volume
W5,low_volume
X5,low_volume
J8,low_volume
O5,low_volume
11,low_volume
15,low_volume
G1,low_volume
I8,low_volume
P1,low_volume
T6,low_volume
9,low_volume
J6,low_volume
N4,low_volume
3,low_volume
H1,low_volume
N2,low_volume
29,low_volume
C8,low_volume
E5,low_volume
O6,low_volume
I7,low_volume
H6,low_volume
NL,low_volume
Z7,low_volume
B6,low_volume
Z8,low_volume
K8,low_volume
R3,low_volume
I6,low_volume
K3,low_volume
F1,low_volume
F3,low_volume
G6,low_volume
G8,low_volume
B1,low_volume
D7,low_volume
G3,low_volume
I3,low_volume
O7,low_volume
27,low_volume
D2,low_volume
L2,low_volume
L8,low_volume
13,low_volume
B2,low_volume
W2,low_volume
A1,low_volume
B5,low_volume
L6,low_volume
M2,low_volume
Q3,low_volume
U9,low_volume
I4,low_volume
K4,low_volume
N9,low_volume
U3,low_volume
B3,low_volume
C1,low_volume
E3,low_volume
F6,low_volume
H4,low_volume
L5,low_volume
K7,low_volume
M4,low_volume
N8,low_volume
14,low_volume
A4,low_volume
L1,low_volume
Y9,low_volume
F4,low_volume
L7,low_volume
P4,low_volume
W9,low_volume
Z6,low_volume
Q5,low_volume
A3,low_volume
G9,low_volume
L3,low_volume
25,low_volume
F9,low_volume
G4,low_volume
M6,low_volume
N1,low_volume
O1,low_volume
P2,low_volume
D5,low_volume
V7,low_volume
E9,low_volume
O2,low_volume
O9,low_volume
X7,low_volume
34,low_volume
18,low_volume
F7,low_volume
E8,low_volume
J3,low_volume
K1,low_volume
J5,low_volume
N3,low_volume
W4,low_volume
M7,low_volume
Q2,low_volume
W1,low_volume
X3,low_volume
21,low_volume
40,low_volume
A9,low_volume
J2,low_volume
J4,low_volume
K5,low_volume
K6,low_volume
M1,low_volume
T7,low_volume
Z1,low_volume
A6,low_volume
G2,low_volume
G7,low_volume
O3,low_volume
23,low_volume
AN,low_volume
I1,low_volume
I5,low_volume
K9,low_volume
O4,low_volume
26,low_volume
C2,low_volume
D1,low_volume
P9,low_volume
U2,low_volume
Y1,low_volume
17,low_volume
LB,low_volume
12,low_volume
82,low_volume
O8,low_volume
PE,low_volume
X8,low_volume
AD,low_volume
U4,low_volume
U6,low_volume
V5,low_volume
W7,low_volume
M5,low_volume
Z3,low_volume
78,low_volume
T8,low_volume
X4,low_volume
20,low_volume
U7,low_volume
W6,low_volume
Y2,low_volume
Y5,low_volume
30,low_volume
A5,low_volume
U5,low_volume
Y6,low_volume
Z2,low_volume
31,low_volume
DR,low_volume
KH,low_volume
TE,low_volume
22,low_volume
V4,low_volume
X6,low_volume
Y4,low_volume
Y8,low_volume
Z4,low_volume
24,low_volume
36,low_volume
81,low_volume
CC,low_volume
U1,low_volume
64,low_volume
77,low_volume
T9,low_volume
TQ,low_volume
Y7,low_volume
72,low_volume
HD,low_volume
MU,low_volume
V6,low_volume
X2,low_volume
32,low_volume
53,low_volume
63,low_volume
F5,low_volume
83,low_volume
=--,low_volume
AC,low_volume
X1,low_volume
GE,low_volume
X9,low_volume
35,low_volume
85,low_volume
86,low_volume
OC,low_volume
38,low_volume
61,low_volume
65,low_volume
68,low_volume
TA,low_volume
39,low_volume
51,low_volume
FM,low_volume
NT,low_volume
W3,low_volume
Y3,low_volume
47,low_volume
71,low_volume
88,low_volume
94,low_volume
NO,low_volume
62,low_volume
73,low_volume
74,low_volume
CH,low_volume
L4,low_volume
42,low_volume
43,low_volume
45,low_volume
76,low_volume
79,low_volume
92,low_volume
BF,low_volume
CQ,low_volume
HQ,low_volume
HZ,low_volume
PI,low_volume
YT,low_volume
33,low_volume
50,low_volume
54,low_volume
58,low_volume
60,low_volume
66,low_volume
75,low_volume
80,low_volume
87,low_volume
EK,low_volume
V9,low_volume
W8,low_volume
37,low_volume
41,low_volume
44,low_volume
52,low_volume
55,low_volume
59,low_volume
67,low_volume
69,low_volume
70,low_volume
84,low_volume
91,low_volume
93,low_volume
AA,low_volume
D0,low_volume
HU,low_volume
NU,low_volume
YU,low_volume
